	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_128_7.txt	128	7	22.37698	23.81359	22.61072	22.99212	20.42541	24.73404	22.01739	21.06339	24.3632	24.31095	26.7333	23.29508	26.01773	22.16992	23.26378	23.01367	24.66579	22.20347	26.32501	22.7023	20.94481	24.22184	20.78551	23.51216	22.11168	22.95495	24.56413	22.14254	21.97919	25.2729
alpha_rarefaction_128_8.txt	128	8	25.89942	25.17646	22.14005	26.39318	22.00486	25.37583	25.25027	22.43376	22.37488	24.63159	26.83184	23.7513	24.34068	21.33834	24.87117	25.25316	21.35087	20.33024	25.38939	23.34392	21.12849	25.80044	24.47099	25.22006	25.25056	21.72129	26.23485	23.4484	22.17294	26.3841
alpha_rarefaction_128_9.txt	128	9	24.59819	22.85151	24.12657	23.28412	21.23251	24.52532	24.52463	22.85122	25.36336	27.0076	25.04996	22.38184	25.93249	20.04739	25.4535	23.34189	22.63743	24.39302	26.21892	24.64091	20.32209	25.04959	24.82912	20.37249	24.69027	25.13897	23.02635	23.60092	22.03103	25.84227
alpha_rarefaction_187_0.txt	187	0	33.93122	27.11786	29.2821	30.07309	27.7358	32.04641	29.12671	32.51754	29.33263	31.94527	31.52856	29.74079	30.40258	28.18328	28.30985	28.68996	31.81217	28.96218	32.44925	27.55028	26.98272	34.6947	31.69711	29.80872	30.65154	31.38422	28.51744	27.87526	24.87039	30.84758
alpha_rarefaction_187_1.txt	187	1	31.82988	28.48138	30.76538	30.46256	31.13728	28.13092	24.33833	30.79619	33.35875	27.95775	32.96508	30.90543	30.96222	30.11413	29.04018	30.51514	27.85337	28.22087	31.68403	26.77998	26.58187	32.57712	31.86001	29.31233	29.07719	29.59312	29.97902	29.58754	25.9833	31.1906
alpha_rarefaction_187_2.txt	187	2	33.10986	29.63701	30.56071	31.32721	26.496	33.24775	29.58997	29.61371	29.93029	28.11442	31.91714	27.7603	32.32196	27.99038	29.79977	29.44442	29.71923	24.73981	29.43361	29.42173	28.70498	32.20001	31.04327	32.53608	27.78857	30.71793	31.35275	29.75646	28.5654	33.3184
alpha_rarefaction_187_3.txt	187	3	33.16621	29.76034	29.59695	30.74465	30.68113	32.80716	27.80628	32.85653	30.06702	28.41044	32.37739	27.99305	31.02647	29.60949	28.14412	29.73941	31.51701	28.63518	30.2239	31.90322	28.76682	31.95248	30.94728	31.84203	31.22753	28.63371	31.40454	29.89049	27.28799	33.42949
alpha_rarefaction_187_4.txt	187	4	35.83697	26.54377	28.47666	29.87955	29.69212	31.41981	26.52472	30.14068	32.15022	30.39809	32.72837	30.54087	32.91088	28.53097	29.39105	32.02778	31.69367	31.87492	31.84446	27.03923	27.54197	31.84429	33.67013	29.93531	29.24646	26.98506	31.71439	29.59038	26.46925	30.45961
alpha_rarefaction_187_5.txt	187	5	32.18612	27.45978	28.83571	31.70087	28.06362	30.51229	29.79096	32.06488	29.3751	30.11927	33.55972	29.85518	33.56603	30.37408	30.88076	31.71757	29.11843	29.75557	30.53497	27.17903	28.90506	30.59491	34.90057	31.9869	29.74501	28.18995	29.5004	29.21299	23.92786	31.28715
alpha_rarefaction_187_6.txt	187	6	35.12116	28.56635	28.95886	30.7286	26.94814	29.16292	30.02853	29.085	29.92576	31.46485	30.75208	28.4508	29.3441	28.05068	29.83511	26.53595	29.46834	29.82764	29.74648	32.44428	25.7893	30.01455	31.88703	32.14943	31.63826	30.65843	30.57235	28.04105	27.09572	30.86681
alpha_rarefaction_187_7.txt	187	7	30.13843	27.50606	31.84635	32.55335	24.09408	31.6087	27.13262	31.96381	31.70402	31.72318	29.92787	28.98295	31.84121	30.52579	28.05113	29.69853	30.75468	27.44052	29.81427	27.0849	25.76235	28.17172	29.87234	30.55087	27.73713	30.94108	28.58496	29.41384	26.50335	32.88009
alpha_rarefaction_187_8.txt	187	8	29.26856	29.62201	28.63338	29.16218	23.40222	32.28506	29.83432	29.78187	30.02333	30.61329	33.65656	29.15363	31.93007	28.5731	27.2517	31.19346	30.03474	30.36563	30.50061	28.9152	27.13719	31.09085	32.14174	31.62916	29.96703	28.97522	32.54226	30.46756	27.40449	31.38553
alpha_rarefaction_187_9.txt	187	9	34.05555	30.88124	29.47876	32.65125	26.95399	30.00615	27.10323	28.56837	29.18491	29.1316	30.47997	29.53039	30.02212	26.77161	30.88077	32.75886	28.85679	28.90018	32.63141	29.32107	28.24728	31.23494	31.48784	31.09568	28.8348	29.41881	31.92065	32.82553	24.38228	28.90765
alpha_rarefaction_246_0.txt	246	0	36.96167	34.34772	35.58613	38.40477	32.18386	36.0406	33.15596	34.43204	34.88398	36.11621	31.3614	33.06	36.57855	30.7225	33.99054	37.06343	33.52955	34.16396	37.54155	33.07229	34.27246	38.37506	37.25189	36.25966	32.35479	35.95759	39.20789	36.22857	28.70944	37.13862
alpha_rarefaction_246_1.txt	246	1	38.33687	36.96411	35.7169	38.93375	33.35595	36.20316	34.15744	32.93931	36.77255	34.13721	38.21658	33.87706	37.949	33.98841	29.82422	35.73304	32.94803	32.9356	37.1823	32.15508	33.70936	33.86522	36.95622	38.68105	35.17391	33.89054	37.41834	35.61779	26.75803	37.20337
alpha_rarefaction_246_2.txt	246	2	41.30674	32.20333	32.81465	34.20754	33.64608	37.53449	33.37052	36.40966	41.25439	31.48851	36.74871	33.23904	35.38284	35.64396	33.60456	33.25461	31.65429	31.67862	38.21832	32.98813	31.81719	35.27131	37.32425	35.80314	37.35977	36.78201	35.86651	32.31506	30.32464	35.94774
alpha_rarefaction_246_3.txt	246	3	40.43112	36.22204	35.07729	37.1162	33.08358	39.74711	33.48168	36.07549	36.23138	37.84687	39.77012	34.52832	37.364	32.94179	33.4306	35.81064	36.15798	37.66958	34.81562	35.55928	32.25612	35.66532	36.74445	37.84979	33.9324	34.83199	37.70323	38.13368	31.66309	37.96358
alpha_rarefaction_246_4.txt	246	4	39.10055	34.32989	35.5161	38.59028	36.35318	37.62	34.91512	37.01764	36.36792	35.18439	36.3439	32.83701	39.60696	33.04549	33.62052	36.15261	38.24158	34.15559	36.74904	32.44444	34.20853	37.64019	35.62914	36.31909	33.67757	34.51489	35.42091	33.3444	29.59147	35.21932
alpha_rarefaction_246_5.txt	246	5	32.68483	33.67815	34.31833	35.16974	34.10235	36.1961	33.0468	35.19694	37.0558	33.05217	34.96291	35.3491	36.8943	32.39433	30.71952	34.31569	36.11024	34.08052	36.23736	32.47294	33.36849	36.93036	35.54373	34.05817	37.461	34.93682	35.20548	35.35016	30.56984	38.79545
alpha_rarefaction_246_6.txt	246	6	40.82831	34.13461	32.71992	37.81754	30.37755	39.86955	32.27052	33.96442	37.10426	36.12261	36.83151	30.8737	37.51135	29.59768	31.55092	38.65687	33.16552	35.86547	37.92983	35.7581	32.28279	36.10491	38.05668	36.74046	36.28708	35.7324	38.49258	35.94656	28.77214	35.77561
alpha_rarefaction_246_7.txt	246	7	39.09105	33.32165	33.11205	37.26579	31.92676	37.90889	33.13031	34.89243	33.50612	35.7587	37.17536	33.04396	37.98478	31.73517	31.94808	37.30311	33.79002	35.15679	36.02353	33.09203	31.80187	34.69046	38.52695	33.173	32.11274	38.46476	35.32079	33.959	32.67231	38.29272
alpha_rarefaction_246_8.txt	246	8	33.93031	35.5075	32.95465	34.02305	30.87957	39.31832	33.67579	35.46861	37.49217	35.31084	37.62768	33.51591	39.97301	34.4426	35.11366	36.99195	34.49973	32.22529	38.02159	33.42171	34.90317	35.20715	34.35311	36.90373	35.7766	35.01903	38.01674	35.63431	27.27405	35.48031
alpha_rarefaction_246_9.txt	246	9	40.5991	33.59623	37.37755	34.76826	32.46279	36.34271	38.33678	37.52499	36.16879	34.16149	36.02575	32.62549	32.95841	33.26449	32.74158	34.23419	34.10379	35.98068	37.58487	31.62241	31.11873	39.5981	37.79374	37.62982	33.45469	33.98657	38.49798	34.23396	31.80184	37.08431
alpha_rarefaction_305_0.txt	305	0	47.46383	40.2435	38.94373	42.88434	39.80609	39.599	41.42952	41.8604	38.12876	39.82418	41.95336	36.44991	42.01902	37.60721	40.81389	38.43207	39.22912	36.83383	40.19906	37.34107	39.37095	41.50747	40.24766	38.56747	41.04494	42.5427	42.69537	38.67052	34.97865	41.15034
alpha_rarefaction_305_1.txt	305	1	43.18405	37.62401	38.94506	44.35562	36.94266	41.39694	35.5015	43.81369	38.18685	39.72692	39.03442	36.29143	42.29023	35.06657	39.47828	40.42029	40.45406	38.33832	41.38165	36.78176	35.79422	39.95799	43.89804	39.12608	38.95481	41.10677	39.44351	37.77201	34.05863	41.52976
alpha_rarefaction_305_2.txt	305	2	46.20159	43.77986	40.47021	39.66002	34.83004	41.40486	34.76416	38.58921	41.75191	41.76792	41.43412	41.26947	40.1398	37.02908	42.12412	43.56825	39.80835	36.54453	44.20701	39.30466	37.07428	41.83201	39.45721	41.20981	38.93442	40.33592	40.08241	37.2443	34.27903	40.25699
alpha_rarefaction_305_3.txt	305	3	46.96679	37.38969	39.91018	42.80833	36.2454	43.11467	38.7348	39.23511	40.23804	41.02267	41.41115	37.73716	43.98249	37.86511	40.1481	37.22437	39.19039	36.42588	38.60169	39.28569	36.53237	41.76503	39.8232	39.66328	37.55006	39.43054	40.2766	40.93186	34.74339	40.91794
alpha_rarefaction_305_4.txt	305	4	44.44218	38.69266	38.02086	43.559	37.54457	41.21134	35.80282	39.94109	42.42333	37.28293	42.56172	37.44737	46.20242	37.89471	38.06276	42.45868	40.89977	37.02333	39.89675	38.68112	38.25212	41.71782	40.36947	38.05863	40.84581	42.16453	42.91897	39.80212	35.58045	41.37582
alpha_rarefaction_305_5.txt	305	5	43.44095	41.42317	38.84186	37.46042	35.34863	39.98263	36.03625	41.99559	40.95315	39.98389	41.94751	38.8632	42.92296	34.78932	37.92018	40.35393	39.92407	37.8751	42.16936	38.02105	37.74697	40.37888	38.75894	43.78034	41.94761	41.41359	42.26095	38.86471	34.17593	39.60704
alpha_rarefaction_305_6.txt	305	6	42.35437	37.23005	38.10881	42.95789	37.33508	42.54857	40.66226	38.36756	40.86179	38.51375	45.36535	36.90286	39.76574	38.65075	37.10773	39.77466	42.64754	38.66031	41.30423	40.52646	38.12617	43.84213	39.33183	41.38246	43.21802	40.59214	40.56011	37.58494	33.31575	42.1149
