	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_187_0.txt	187	0	993.25	468.588235294	507.315789474	328.285714286	503.214285714	919.0	415.285714286	745.363636364	602.2	533.352941176	395.772727273	577.0	744.153846154	463.666666667	449.714285714	492.052631579	434.0	800.0	668.0	620.769230769	469.055555556	811.714285714	814.75	600.071428571	552.05	505.315789474	551.333333333	503.0	349.8125	481.0
alpha_rarefaction_187_1.txt	187	1	684.166666667	419.55	850.769230769	517.882352941	918.0	540.5625	355.333333333	536.055555556	562.833333333	333.0	976.272727273	847.75	510.0	643.5	633.071428571	442.043478261	459.3125	720.545454545	672.214285714	764.545454545	452.176470588	1018.0	374.222222222	712.769230769	436.333333333	823.333333333	491.15	656.4	371.9375	657.0
alpha_rarefaction_187_2.txt	187	2	664.789473684	693.833333333	481.333333333	448.181818182	399.105263158	475.5	589.0	829.3	422.545454545	480.8125	803.0	371.476190476	762.461538462	566.75	569.4	488.0	814.0	461.666666667	1262.875	556.055555556	561.214285714	529.272727273	390.217391304	573.666666667	478.0	729.615384615	455.454545455	613.9375	538.071428571	491.045454545
alpha_rarefaction_187_3.txt	187	3	635.333333333	710.769230769	698.571428571	463.0	497.833333333	634.461538462	633.071428571	533.5	526.5	457.0	490.555555556	531.076923077	682.4	526.588235294	506.166666667	750.928571429	872.5	560.0	658.0	893.583333333	496.833333333	453.260869565	397.375	662.571428571	738.714285714	501.0	588.352941176	986.5	414.894736842	821.428571429
alpha_rarefaction_187_4.txt	187	4	929.5	440.0	458.0	463.05	974.666666667	756.083333333	547.058823529	778.5	882.5	792.090909091	557.0	581.8125	518.05	457.0	670.214285714	516.681818182	500.476190476	609.235294118	615.9375	614.428571429	627.583333333	611.666666667	820.428571429	517.882352941	534.5	529.352941176	808.0	860.153846154	413.25	543.894736842
alpha_rarefaction_187_5.txt	187	5	523.454545455	374.055555556	520.882352941	473.25	509.555555556	471.4	709.769230769	624.714285714	511.555555556	721.545454545	612.235294118	527.4	544.75	723.153846154	586.526315789	639.066666667	490.647058824	690.833333333	557.055555556	474.5	772.0	589.352941176	547.142857143	623.625	591.4	409.5	439.954545455	1212.375	301.055555556	448.181818182
alpha_rarefaction_187_6.txt	187	6	815.5	531.5	790.090909091	576.0	461.0	525.5	613.9375	396.0	588.352941176	652.076923077	465.136363636	586.769230769	444.25	389.55	473.714285714	520.0	702.4	554.875	493.052631579	686.058823529	347.714285714	655.4	716.25	615.9375	679.928571429	483.5	521.0	657.0	420.368421053	494.052631579
alpha_rarefaction_187_7.txt	187	7	776.875	911.0	453.454545455	748.0	437.75	539.666666667	583.666666667	757.083333333	663.571428571	589.352941176	483.3	412.352941176	529.105263158	566.125	488.647058824	710.5	453.454545455	751.909090909	675.0625	462.0	386.0	454.454545455	653.0	543.176470588	632.461538462	671.214285714	483.235294118	481.3	651.3	470.913043478
alpha_rarefaction_187_8.txt	187	8	517.05	665.0	542.5625	593.4	541.0	547.368421053	587.0	859.583333333	436.333333333	611.066666667	646.235294118	590.0	709.5	733.5	433.473684211	589.25	625.714285714	760.461538462	709.5	1040.1	496.833333333	710.0	500.157894737	591.25	672.0	442.166666667	806.0	837.272727273	307.05	565.833333333
alpha_rarefaction_187_9.txt	187	9	953.571428571	568.4	386.25	642.5	517.2	446.714285714	689.714285714	671.75	526.5	661.571428571	555.055555556	461.315789474	513.142857143	804.0	506.315789474	587.5	617.428571429	639.5	632.375	672.75	604.3125	691.866666667	419.130434783	816.076923077	502.647058824	615.428571429	497.05	699.4	530.25	690.714285714
alpha_rarefaction_246_0.txt	246	0	852.954545455	693.166666667	669.285714286	628.125	506.6	585.12	670.526315789	863.4	519.535714286	582.714285714	501.956521739	612.555555556	668.285714286	613.555555556	787.0	453.090909091	698.166666667	622.636363636	603.384615385	764.882352941	555.615384615	693.0	753.526315789	547.884615385	486.545454545	636.230769231	825.315789474	780.75	461.8	674.6
alpha_rarefaction_246_1.txt	246	1	948.647058824	566.2	661.136363636	565.2	440.483870968	756.0	739.75	590.75	773.05	449.6	654.956521739	516.84	896.473684211	654.55	426.096774194	612.0	665.055555556	654.235294118	753.0	497.5	503.4	615.619047619	492.222222222	818.05	435.615384615	750.526315789	706.913043478	782.5	343.125	586.12
alpha_rarefaction_246_2.txt	246	2	1233.21428571	629.714285714	598.454545455	566.2	730.3	747.25	1321.90909091	989.230769231	816.217391304	524.142857143	641.217391304	566.875	957.0	517.84	595.333333333	685.181818182	646.052631579	536.217391304	1057.55555556	777.052631579	526.44	647.0	691.565217391	715.142857143	755.333333333	721.434782609	729.5	578.44	490.0	595.125
alpha_rarefaction_246_3.txt	246	3	717.035714286	715.894736842	762.315789474	623.142857143	600.681818182	1111.0	766.157894737	562.166666667	644.0	623.636363636	750.916666667	568.875	543.677419355	672.5	573.045454545	531.5	614.260869565	594.730769231	464.620689655	1046.57142857	646.65	576.037037037	647.04	859.666666667	667.526315789	590.789473684	613.0	1193.0	458.181818182	692.565217391
alpha_rarefaction_246_4.txt	246	4	836.636363636	507.714285714	848.055555556	613.954545455	634.333333333	604.130434783	754.8	685.65	765.4	535.307692308	760.954545455	482.0	715.142857143	599.3	560.64	554.230769231	672.5	547.652173913	646.04	642.65	734.105263158	806.333333333	581.416666667	826.0	699.058823529	721.285714286	442.285714286	788.875	418.047619048	570.875
alpha_rarefaction_246_5.txt	246	5	813.157894737	592.555555556	601.043478261	585.0	719.0	620.576923077	549.136363636	637.0	719.434782609	576.045454545	616.0	869.0	701.0	645.65	552.5	656.956521739	631.913043478	714.55	677.391304348	519.12	574.045454545	1022.17647059	617.619047619	616.272727273	638.333333333	801.833333333	628.652173913	1001.71428571	532.15	587.12
alpha_rarefaction_246_6.txt	246	6	620.666666667	721.9375	570.0	575.5	519.954545455	869.5	523.954545455	672.5	730.666666667	582.416666667	568.2	472.772727273	578.043478261	596.454545455	547.875	716.545454545	556.12	691.8	1234.4375	781.75	650.157894737	605.551724138	635.913043478	615.24	712.142857143	837.789473684	707.913043478	590.464285714	446.0	523.433333333
alpha_rarefaction_246_7.txt	246	7	963.619047619	583.105263158	817.05	712.555555556	816.882352941	738.545454545	544.555555556	677.454545455	637.8	697.0	677.55	559.142857143	606.444444444	546.0	577.043478261	750.25	411.1875	530.307692308	784.333333333	818.555555556	486.217391304	727.9	583.724137931	762.882352941	553.12	834.0	785.772727273	509.6	576.473684211	523.34375
alpha_rarefaction_246_8.txt	246	8	605.4	976.076923077	866.333333333	637.8	518.954545455	765.055555556	773.166666667	566.260869565	784.333333333	553.652173913	757.8	416.666666667	818.5	503.4	870.125	480.71875	709.25	513.272727273	654.0	753.588235294	557.166666667	522.433333333	541.272727273	1042.0	690.0	1073.46153846	581.785714286	706.913043478	522.571428571	540.37037037
